year,region_code,region,exiobase_code,exiobase_category,ef_kgco23_per_mil_euros,ef_kgco2e_per_euro,market
2022,CN,China,p01.m,Animal products n.e.c.,871747.74,0.87174774,APAC (Asia-Pacific)
2022,CA,Canada,p01.m,Animal products n.e.c.,2246228.99,2.24622899,NA (North America)
2022,KR,Korea,p01.m,Animal products n.e.c.,929696.55,0.92969655,APAC (Asia-Pacific)
2022,BR,Brazil,p01.m,Animal products n.e.c.,659195.32,0.65919532,LATAM (Latin America)
2022,IN,India,p01.m,Animal products n.e.c.,638043,0.638043,APAC (Asia-Pacific)
2022,MX,Mexico,p01.m,Animal products n.e.c.,1209135.91,1.20913591,LATAM (Latin America)
2022,RU,Russia,p01.m,Animal products n.e.c.,1083005.42,1.08300542,"EMEA (Europe, the Middle East and Africa)"
2022,AU,Australia,p01.m,Animal products n.e.c.,1414221.53,1.41422153,APAC (Asia-Pacific)
2022,CH,Switzerland,p01.m,Animal products n.e.c.,443015.79,0.44301579,"EMEA (Europe, the Middle East and Africa)"
2022,TR,Turkey,p01.m,Animal products n.e.c.,1785329.63,1.78532963,"EMEA (Europe, the Middle East and Africa)"
2022,TW,Taiwan,p01.m,Animal products n.e.c.,989583.94,0.98958394,APAC (Asia-Pacific)
2022,NO,Norway,p01.m,Animal products n.e.c.,300303.78,0.30030378,"EMEA (Europe, the Middle East and Africa)"
2022,ID,Indonesia,p01.m,Animal products n.e.c.,410977.51,0.41097751,APAC (Asia-Pacific)
2022,ZA,South Africa,p01.m,Animal products n.e.c.,7361118.71,7.36111871,"EMEA (Europe, the Middle East and Africa)"
2022,WA,ROW-Asia,p01.m,Animal products n.e.c.,1760852.77,1.76085277,APAC (Asia-Pacific)
2022,WL,ROW-Americas,p01.m,Animal products n.e.c.,3027768.26,3.02776826,LATAM (Latin America)
2022,WE,ROW-Europe,p01.m,Animal products n.e.c.,4476400.93,4.47640093,"EMEA (Europe, the Middle East and Africa)"
2022,WF,ROW-Africa,p01.m,Animal products n.e.c.,4359733.31,4.35973331,"EMEA (Europe, the Middle East and Africa)"
